method,median_ms_per_frame,p95_ms_per_frame,gpu
Senseiver-A,0.10468821016739542,0.12138612093504433,
Senseiver-G Temporal (ours),1.7783126316919602,1.786210841717782,
DINCAE,0.012045556214475325,0.016913584861855305,
4DVarNet MSE,0.2815290471927753,0.2850470931033154,
4DVarNet aughead_obs (single),0.2930970833345194,0.29760023547225284,
Localized EnKF (100 members),7.042632607978062,7.087309150593306,Tesla V100-PCIE-32GB
