method,blind_rmse,all_walkable_rmse,density_rmse,vx_rmse,vy_rmse,variance_rmse
Senseiver-A,0.22247854467129102,0.15684120418064454,0.15601338958902905,0.37210130710023764,0.1542861715380749,0.10669127495527811
Senseiver-G Temporal (ours),0.19686587885041393,0.13633047413999763,0.13273486369192175,0.3255418325215225,0.14454969446161822,0.10263554010406031
DINCAE,0.22701307005884508,0.18264980899833647,0.15312600145678343,0.3812086931458208,0.16026344152621008,0.10810978294426475
4DVarNet MSE,0.2306240997353301,0.1921079186812685,0.17612771377237074,0.3609017832579457,0.17830879246437248,0.140302556382184
4DVarNet aughead_obs (single),0.29491692134244396,0.23714828099316762,0.19481312677914311,0.5039337282022529,0.18897594441181334,0.14244541980981973
Localized EnKF (100 members),0.2827257252581485,0.23688707441660548,0.1543879547294787,0.4187147275867791,0.18294139388932198,0.29514424546176393
