method,rmse,crps,crps_null,crps_skill,spread_skill,coverage90,crps_skill_lo,crps_skill_hi,spread_skill_lo,spread_skill_hi
4DVarNet aughead_obs (single),0.29727562234024024,0.10616433451228528,0.13824081025059104,0.23203333140308047,0.6584972426116098,0.9214544326191281,0.22078127460152897,0.2439556972159178,0.6482979519478193,0.6702024713559052
DINCAE,0.22828362111633352,0.07427453965284175,0.10240913727910865,0.27472741567569403,0.5835843091500729,0.942543717073042,0.26627768917184746,0.2833326840162821,0.5655537373577102,0.610166160717815
Localized EnKF (100 members),0.28284337819094174,0.13261163275684656,0.14329821660186803,0.07457583282220803,1.2082451593096066,0.9370162057585918,0.06762623780951438,0.08100684661448049,1.1827107245922341,1.2372547895718127
