[residual, scale=1, rtps=0] 20200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 20400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 20600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 20800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 21000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 21200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 21400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 21600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 21800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 22000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 22200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 22400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 22600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 22800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 23000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 23200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 23400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 23600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 23800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 24000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 24200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 24400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 24600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 24800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 25000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 25200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 25400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 25600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 25800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 26000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 26200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 26400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 26600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 26800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 27000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 27200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 27400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 27600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 27800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 28000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 28200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 28400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 28600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 28800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 29000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 29200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 29400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 29600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 29800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 30000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 30200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 30400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 30600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 30800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 31000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 31200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 31400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 31600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 31800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 32000/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 32200/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 32400/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 32600/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 32800/42890, 0.072 s/frame
[residual, scale=1, rtps=0] 33000/42890, 0.072 s/frame
