[residual, scale=1.5, rtps=0] 200/39383, 0.083 s/frame
[residual, scale=1.5, rtps=0] 400/39383, 0.081 s/frame
[residual, scale=1.5, rtps=0] 600/39383, 0.082 s/frame
[residual, scale=1.5, rtps=0] 800/39383, 0.082 s/frame
[residual, scale=1.5, rtps=0] 1000/39383, 0.081 s/frame
[residual, scale=1.5, rtps=0] 1200/39383, 0.081 s/frame
[residual, scale=1.5, rtps=0] 1400/39383, 0.082 s/frame
[residual, scale=1.5, rtps=0] 1600/39383, 0.082 s/frame
[residual, scale=1.5, rtps=0] 1800/39383, 0.082 s/frame
[residual, scale=1.5, rtps=0] 2000/39383, 0.082 s/frame
[residual, scale=1.5, rtps=0] 2200/39383, 0.082 s/frame
[residual, scale=1.5, rtps=0] 2400/39383, 0.082 s/frame
[residual, scale=1.5, rtps=0] 2600/39383, 0.083 s/frame
[residual, scale=1.5, rtps=0] 2800/39383, 0.084 s/frame
[residual, scale=1.5, rtps=0] 3000/39383, 0.084 s/frame
[residual, scale=1.5, rtps=0] 3200/39383, 0.085 s/frame
[residual, scale=1.5, rtps=0] 3400/39383, 0.085 s/frame
[residual, scale=1.5, rtps=0] 3600/39383, 0.085 s/frame
[residual, scale=1.5, rtps=0] 3800/39383, 0.086 s/frame
[residual, scale=1.5, rtps=0] 4000/39383, 0.086 s/frame
[residual, scale=1.5, rtps=0] 4200/39383, 0.086 s/frame
[residual, scale=1.5, rtps=0] 4400/39383, 0.086 s/frame
[residual, scale=1.5, rtps=0] 4600/39383, 0.087 s/frame
[residual, scale=1.5, rtps=0] 4800/39383, 0.087 s/frame
[residual, scale=1.5, rtps=0] 5000/39383, 0.087 s/frame
[residual, scale=1.5, rtps=0] 5200/39383, 0.087 s/frame
[residual, scale=1.5, rtps=0] 5400/39383, 0.087 s/frame
[residual, scale=1.5, rtps=0] 5600/39383, 0.088 s/frame
[residual, scale=1.5, rtps=0] 5800/39383, 0.088 s/frame
[residual, scale=1.5, rtps=0] 6000/39383, 0.088 s/frame
[residual, scale=1.5, rtps=0] 6200/39383, 0.088 s/frame
[residual, scale=1.5, rtps=0] 6400/39383, 0.088 s/frame
[residual, scale=1.5, rtps=0] 6600/39383, 0.088 s/frame
[residual, scale=1.5, rtps=0] 6800/39383, 0.088 s/frame
[residual, scale=1.5, rtps=0] 7000/39383, 0.088 s/frame
[residual, scale=1.5, rtps=0] 7200/39383, 0.089 s/frame
[residual, scale=1.5, rtps=0] 7400/39383, 0.089 s/frame
[residual, scale=1.5, rtps=0] 7600/39383, 0.089 s/frame
[residual, scale=1.5, rtps=0] 7800/39383, 0.089 s/frame
[residual, scale=1.5, rtps=0] 8000/39383, 0.089 s/frame
[residual, scale=1.5, rtps=0] 8200/39383, 0.089 s/frame
[residual, scale=1.5, rtps=0] 8400/39383, 0.089 s/frame
[residual, scale=1.5, rtps=0] 8600/39383, 0.089 s/frame
[residual, scale=1.5, rtps=0] 8800/39383, 0.089 s/frame
[residual, scale=1.5, rtps=0] 9000/39383, 0.089 s/frame
[residual, scale=1.5, rtps=0] 9200/39383, 0.089 s/frame
[residual, scale=1.5, rtps=0] 9400/39383, 0.090 s/frame
[residual, scale=1.5, rtps=0] 9600/39383, 0.090 s/frame
[residual, scale=1.5, rtps=0] 9800/39383, 0.090 s/frame
[residual, scale=1.5, rtps=0] 10000/39383, 0.090 s/frame
[residual, scale=1.5, rtps=0] 10200/39383, 0.090 s/frame
[residual, scale=1.5, rtps=0] 10400/39383, 0.090 s/frame
[residual, scale=1.5, rtps=0] 10600/39383, 0.090 s/frame
