[residual, scale=1, rtps=0] 200/38842, 0.081 s/frame
[residual, scale=1, rtps=0] 18400/38842, 0.069 s/frame
[residual, scale=1, rtps=0] 18600/38842, 0.069 s/frame
[residual, scale=1, rtps=0] 18800/38842, 0.069 s/frame
[residual, scale=1, rtps=0] 19000/38842, 0.069 s/frame
[residual, scale=1, rtps=0] 19200/38842, 0.069 s/frame
[residual, scale=1, rtps=0] 19400/38842, 0.069 s/frame
[residual, scale=1, rtps=0] 19600/38842, 0.069 s/frame
[residual, scale=1, rtps=0] 19800/38842, 0.069 s/frame
[residual, scale=1, rtps=0] 20000/38842, 0.069 s/frame
[residual, scale=1, rtps=0] 20200/38842, 0.069 s/frame
[residual, scale=1, rtps=0] 20400/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 20600/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 20800/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 21000/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 21200/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 21400/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 21600/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 21800/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 22000/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 22200/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 22400/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 22600/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 22800/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 23000/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 23200/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 23400/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 23600/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 23800/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 24000/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 24200/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 24400/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 24600/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 24800/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 25000/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 25200/38842, 0.068 s/frame
[residual, scale=1, rtps=0] 25400/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 25600/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 25800/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 26000/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 26200/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 26400/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 26600/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 26800/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 27000/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 27200/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 27400/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 27600/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 27800/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 28000/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 28200/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 28400/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 28600/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 28800/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 29000/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 29200/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 29400/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 29600/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 29800/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 30000/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 30200/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 30400/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 30600/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 30800/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 31000/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 31200/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 31400/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 31600/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 31800/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 32000/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 32200/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 32400/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 32600/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 32800/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 33000/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 33200/38842, 0.067 s/frame
[residual, scale=1, rtps=0] 33400/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 33600/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 33800/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 34000/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 34200/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 34400/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 34600/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 34800/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 35000/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 35200/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 35400/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 35600/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 35800/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 36000/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 36200/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 36400/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 36600/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 36800/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 37000/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 37200/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 37400/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 37600/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 37800/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 38000/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 38200/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 38400/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 38600/38842, 0.066 s/frame
[residual, scale=1, rtps=0] 38800/38842, 0.066 s/frame
[all] RMSE=0.21401 CRPS=0.09329 spread/skill=0.535 cov90=0.701
[defined_blind] RMSE=0.36354 CRPS=0.15666 spread/skill=0.350 cov90=0.546
[density] spearman=+0.810 AUSE=0.244 sigma_cv=0.739
[vx] spearman=+0.412 AUSE=0.403 sigma_cv=0.561
[vy] spearman=+0.068 AUSE=0.644 sigma_cv=0.491
[var] spearman=+0.639 AUSE=0.483 sigma_cv=0.835
[out] methods/enkf/enkf_opt/experiments/outputs/fullseq7/atc-20130922_residual_s1.json
