[residual, scale=1.5, rtps=0] 200/38885, 0.112 s/frame
[residual, scale=1.5, rtps=0] 400/38885, 0.110 s/frame
[residual, scale=1.5, rtps=0] 600/38885, 0.111 s/frame
[residual, scale=1.5, rtps=0] 800/38885, 0.111 s/frame
[residual, scale=1.5, rtps=0] 1000/38885, 0.110 s/frame
[residual, scale=1.5, rtps=0] 1200/38885, 0.111 s/frame
[residual, scale=1.5, rtps=0] 1400/38885, 0.112 s/frame
[residual, scale=1.5, rtps=0] 1600/38885, 0.112 s/frame
[residual, scale=1.5, rtps=0] 1800/38885, 0.112 s/frame
[residual, scale=1.5, rtps=0] 2000/38885, 0.113 s/frame
[residual, scale=1.5, rtps=0] 2200/38885, 0.113 s/frame
[residual, scale=1.5, rtps=0] 2400/38885, 0.113 s/frame
[residual, scale=1.5, rtps=0] 2600/38885, 0.114 s/frame
[residual, scale=1.5, rtps=0] 2800/38885, 0.114 s/frame
[residual, scale=1.5, rtps=0] 3000/38885, 0.114 s/frame
[residual, scale=1.5, rtps=0] 3200/38885, 0.114 s/frame
[residual, scale=1.5, rtps=0] 3400/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 3600/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 3800/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 4000/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 4200/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 4400/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 4600/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 4800/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 5000/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 5200/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 5400/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 5600/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 5800/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 6000/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 6200/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 6400/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 6600/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 6800/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 7000/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 7200/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 7400/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 7600/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 7800/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 8000/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 8200/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 8400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 8600/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 8800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 9000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 9200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 9400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 9600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 9800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 10000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 10200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 10400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 10600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 10800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 11000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 11200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 11400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 11600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 11800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 12000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 12200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 12400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 12600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 12800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 13000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 13200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 13400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 13600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 13800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 14000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 14200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 14400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 14600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 14800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 15000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 15200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 15400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 15600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 15800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 16000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 16200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 16400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 16600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 16800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 17000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 17200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 17400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 17600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 17800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 18000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 18200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 18400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 18600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 18800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 19000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 19200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 19400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 19600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 19800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 20000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 20200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 20400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 20600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 20800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 21000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 21200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 21400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 21600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 21800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 22000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 22200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 22400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 22600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 22800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 23000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 23200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 23400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 23600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 23800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 24000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 24200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 24400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 24600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 24800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 25000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 25200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 25400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 25600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 25800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 26000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 26200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 26400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 26600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 26800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 27000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 27200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 27400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 27600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 27800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 28000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 28200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 28400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 28600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 28800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 29000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 29200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 29400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 29600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 29800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 30000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 30200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 30400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 30600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 30800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 31000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 31200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 31400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 31600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 31800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 32000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 32200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 32400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 32600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 32800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 33000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 33200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 33400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 33600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 33800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 34000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 34200/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 34400/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 34600/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 34800/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 35000/38885, 0.116 s/frame
[residual, scale=1.5, rtps=0] 35200/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 35400/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 35600/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 35800/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 36000/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 36200/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 36400/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 36600/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 36800/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 37000/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 37200/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 37400/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 37600/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 37800/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 38000/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 38200/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 38400/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 38600/38885, 0.115 s/frame
[residual, scale=1.5, rtps=0] 38800/38885, 0.115 s/frame
[all] RMSE=0.23316 CRPS=0.10398 spread/skill=0.689 cov90=0.775
[defined_blind] RMSE=0.37690 CRPS=0.16641 spread/skill=0.539 cov90=0.692
[density] spearman=+0.808 AUSE=0.236 sigma_cv=0.752
[vx] spearman=+0.452 AUSE=0.413 sigma_cv=0.570
[vy] spearman=+0.127 AUSE=0.646 sigma_cv=0.513
[var] spearman=+0.716 AUSE=0.349 sigma_cv=0.790
[out] methods/enkf/enkf_opt/experiments/outputs/fullseq7/atc-20130818_residual_s15.json
