[gaussian, scale=1, rtps=0] 200/39758, 0.086 s/frame
[gaussian, scale=1, rtps=0] 400/39758, 0.085 s/frame
[gaussian, scale=1, rtps=0] 600/39758, 0.086 s/frame
[gaussian, scale=1, rtps=0] 800/39758, 0.085 s/frame
[gaussian, scale=1, rtps=0] 1000/39758, 0.085 s/frame
[gaussian, scale=1, rtps=0] 1200/39758, 0.085 s/frame
[gaussian, scale=1, rtps=0] 1400/39758, 0.085 s/frame
[gaussian, scale=1, rtps=0] 1600/39758, 0.085 s/frame
[gaussian, scale=1, rtps=0] 1800/39758, 0.085 s/frame
[gaussian, scale=1, rtps=0] 2000/39758, 0.085 s/frame
[gaussian, scale=1, rtps=0] 2200/39758, 0.085 s/frame
[gaussian, scale=1, rtps=0] 2400/39758, 0.086 s/frame
[gaussian, scale=1, rtps=0] 2600/39758, 0.086 s/frame
[gaussian, scale=1, rtps=0] 2800/39758, 0.086 s/frame
[gaussian, scale=1, rtps=0] 3000/39758, 0.086 s/frame
[gaussian, scale=1, rtps=0] 3200/39758, 0.086 s/frame
[gaussian, scale=1, rtps=0] 3400/39758, 0.086 s/frame
[gaussian, scale=1, rtps=0] 3600/39758, 0.086 s/frame
[gaussian, scale=1, rtps=0] 3800/39758, 0.086 s/frame
[gaussian, scale=1, rtps=0] 4000/39758, 0.086 s/frame
[gaussian, scale=1, rtps=0] 4200/39758, 0.086 s/frame
[gaussian, scale=1, rtps=0] 4400/39758, 0.086 s/frame
[gaussian, scale=1, rtps=0] 4600/39758, 0.086 s/frame
[gaussian, scale=1, rtps=0] 4800/39758, 0.086 s/frame
[gaussian, scale=1, rtps=0] 5000/39758, 0.086 s/frame
[gaussian, scale=1, rtps=0] 5200/39758, 0.086 s/frame
[gaussian, scale=1, rtps=0] 5400/39758, 0.086 s/frame
[gaussian, scale=1, rtps=0] 5600/39758, 0.086 s/frame
[gaussian, scale=1, rtps=0] 5800/39758, 0.086 s/frame
