[residual, scale=1.5, rtps=0] 200/39821, 0.116 s/frame
[residual, scale=1.5, rtps=0] 400/39821, 0.114 s/frame
[residual, scale=1.5, rtps=0] 600/39821, 0.115 s/frame
[residual, scale=1.5, rtps=0] 800/39821, 0.115 s/frame
[residual, scale=1.5, rtps=0] 1000/39821, 0.114 s/frame
[residual, scale=1.5, rtps=0] 1200/39821, 0.115 s/frame
[residual, scale=1.5, rtps=0] 1400/39821, 0.115 s/frame
[residual, scale=1.5, rtps=0] 1600/39821, 0.115 s/frame
[residual, scale=1.5, rtps=0] 1800/39821, 0.115 s/frame
[residual, scale=1.5, rtps=0] 2000/39821, 0.115 s/frame
[residual, scale=1.5, rtps=0] 2200/39821, 0.115 s/frame
[residual, scale=1.5, rtps=0] 2400/39821, 0.115 s/frame
[residual, scale=1.5, rtps=0] 2600/39821, 0.115 s/frame
[residual, scale=1.5, rtps=0] 2800/39821, 0.115 s/frame
[residual, scale=1.5, rtps=0] 3000/39821, 0.116 s/frame
[residual, scale=1.5, rtps=0] 3200/39821, 0.116 s/frame
[residual, scale=1.5, rtps=0] 3400/39821, 0.116 s/frame
[residual, scale=1.5, rtps=0] 3600/39821, 0.116 s/frame
[residual, scale=1.5, rtps=0] 3800/39821, 0.116 s/frame
[residual, scale=1.5, rtps=0] 4000/39821, 0.116 s/frame
[residual, scale=1.5, rtps=0] 4200/39821, 0.116 s/frame
[residual, scale=1.5, rtps=0] 4400/39821, 0.116 s/frame
[residual, scale=1.5, rtps=0] 4600/39821, 0.116 s/frame
[residual, scale=1.5, rtps=0] 4800/39821, 0.116 s/frame
[residual, scale=1.5, rtps=0] 5000/39821, 0.116 s/frame
[residual, scale=1.5, rtps=0] 5200/39821, 0.116 s/frame
[residual, scale=1.5, rtps=0] 5400/39821, 0.116 s/frame
[residual, scale=1.5, rtps=0] 5600/39821, 0.116 s/frame
[residual, scale=1.5, rtps=0] 5800/39821, 0.116 s/frame
[residual, scale=1.5, rtps=0] 6000/39821, 0.116 s/frame
[residual, scale=1.5, rtps=0] 6200/39821, 0.116 s/frame
[residual, scale=1.5, rtps=0] 6400/39821, 0.116 s/frame
[residual, scale=1.5, rtps=0] 6600/39821, 0.116 s/frame
[residual, scale=1.5, rtps=0] 6800/39821, 0.116 s/frame
[residual, scale=1.5, rtps=0] 7000/39821, 0.116 s/frame
