[gaussian, scale=1, rtps=0] 19000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 19200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 19400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 19600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 19800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 20000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 20200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 20400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 20600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 20800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 21000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 21200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 21400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 21600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 21800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 22000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 22200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 22400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 22600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 22800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 23000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 23200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 23400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 23600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 23800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 24000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 24200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 24400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 24600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 24800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 25000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 25200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 25400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 25600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 25800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 26000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 26200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 26400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 26600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 26800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 27000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 27200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 27400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 27600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 27800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 28000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 28200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 28400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 28600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 28800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 29000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 29200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 29400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 29600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 29800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 30000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 30200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 30400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 30600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 30800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 31000/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 31200/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 31400/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 31600/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 31800/38885, 0.133 s/frame
[gaussian, scale=1, rtps=0] 32000/38885, 0.133 s/frame
