Submitted batch job 20083852
[chain] submitted successor (afterany:20082953)
NVIDIA H200
[obs] obs_every_k = 1  (每帧观测,对齐 EnKF 项目)
[data] 6298 windows of (4, 200, 36, 12)  device=cuda
[model] params=3,945,942 (GENN prior 9,420 = 0.24%; the rest is the solver's ConvLSTM)  loss=nll  n_iter=15  amp=True
[seed] init=1  data=0
[var] AUGMENTED STATE: log sigma^2 iterated with x over 15 steps; prior term of J is a Gaussian log-likelihood of the prior residual   eps=1e-06
[schedule] ep0→5it@lr0.001  ep25→10it@lr0.0007  ep50→15it@lr0.0005  ep75→20it@lr0.0003
[resume] loaded runs/varnet_aug0_s1/varnet_last.pt: continuing from epoch 103 (step 20291)
[best] previous best blind MSE = 0.0486
[schedule] epoch 103: n_iter -> 20, lr -> 0.0003
[epoch 103] loss=-2.2610  盲区MSE=0.0504  density=0.0189 vx=0.1471 vy=0.0267 var=0.0088
[epoch 104] loss=-2.3165  盲区MSE=0.0502  density=0.0188 vx=0.1469 vy=0.0263 var=0.0087
[epoch 105] loss=-2.3279  盲区MSE=0.0500  density=0.0188 vx=0.1463 vy=0.0263 var=0.0087
[epoch 106] loss=-2.3264  盲区MSE=0.0501  density=0.0188 vx=0.1464 vy=0.0263 var=0.0087
[epoch 107] loss=-2.3327  盲区MSE=0.0501  density=0.0188 vx=0.1466 vy=0.0263 var=0.0088
[epoch 108] loss=-2.3742  盲区MSE=0.0501  density=0.0188 vx=0.1465 vy=0.0264 var=0.0088
[epoch 109] loss=-2.3833  盲区MSE=0.0501  density=0.0188 vx=0.1463 vy=0.0264 var=0.0088
[epoch 110] loss=-2.3976  盲区MSE=0.0499  density=0.0188 vx=0.1459 vy=0.0263 var=0.0088
[epoch 111] loss=-2.3199  盲区MSE=0.0501  density=0.0188 vx=0.1464 vy=0.0264 var=0.0088
[epoch 112] loss=-2.3513  盲区MSE=0.0501  density=0.0188 vx=0.1465 vy=0.0264 var=0.0088
[epoch 113] loss=-2.3226  盲区MSE=0.0500  density=0.0188 vx=0.1460 vy=0.0264 var=0.0087
[epoch 114] loss=-1.3391  盲区MSE=0.0562  density=0.0204 vx=0.1657 vy=0.0296 var=0.0089
[epoch 115] loss=-2.1794  盲区MSE=0.0512  density=0.0191 vx=0.1504 vy=0.0266 var=0.0088
[epoch 116] loss=-2.3207  盲区MSE=0.0502  density=0.0188 vx=0.1467 vy=0.0263 var=0.0087
[epoch 117] loss=-2.3598  盲区MSE=0.0502  density=0.0188 vx=0.1467 vy=0.0264 var=0.0088
[epoch 118] loss=-2.3162  盲区MSE=0.0501  density=0.0188 vx=0.1462 vy=0.0264 var=0.0087
[epoch 119] loss=-2.3167  盲区MSE=0.0500  density=0.0188 vx=0.1462 vy=0.0264 var=0.0088
[epoch 120] loss=-2.4328  盲区MSE=0.0502  density=0.0188 vx=0.1467 vy=0.0265 var=0.0088
[epoch 121] loss=-2.3275  盲区MSE=0.0501  density=0.0188 vx=0.1464 vy=0.0264 var=0.0088
[epoch 122] loss=-2.3113  盲区MSE=0.0502  density=0.0188 vx=0.1467 vy=0.0264 var=0.0088
[epoch 123] loss=-2.3402  盲区MSE=0.0501  density=0.0188 vx=0.1463 vy=0.0264 var=0.0088
[epoch 124] loss=-2.3664  盲区MSE=0.0501  density=0.0188 vx=0.1465 vy=0.0264 var=0.0088
[2026-09-06T00:06:27.005] error: *** JOB 20082953 ON gpu63 CANCELLED AT 2026-09-06T00:06:27 DUE TO TIME LIMIT ***
