Submitted batch job 20081738
[chain] submitted successor (afterany:20079867)
NVIDIA H200
[obs] obs_every_k = 1  (每帧观测,对齐 EnKF 项目)
[data] 6298 windows of (4, 200, 36, 12)  device=cuda
[model] params=3,945,942 (GENN prior 9,420 = 0.24%; the rest is the solver's ConvLSTM)  loss=nll  n_iter=15  amp=True
[seed] init=2  data=0
[var] AUGMENTED STATE: log sigma^2 iterated with x over 15 steps; prior term of J is a Gaussian log-likelihood of the prior residual   eps=1e-06
[schedule] ep0→5it@lr0.001  ep25→10it@lr0.0007  ep50→15it@lr0.0005  ep75→20it@lr0.0003
[resume] loaded runs/varnet_aug0_s2/varnet_last.pt: continuing from epoch 54 (step 10638)
[best] previous best blind MSE = 0.0475
[epoch  54] loss=-2.2789  盲区MSE=0.0477  density=0.0183 vx=0.1387 vy=0.0252 var=0.0088
[epoch  55] loss=-2.2643  盲区MSE=0.0478  density=0.0184 vx=0.1390 vy=0.0252 var=0.0088
[epoch  56] loss=-2.0883  盲区MSE=0.0488  density=0.0188 vx=0.1419 vy=0.0256 var=0.0088
[epoch  57] loss=-2.2481  盲区MSE=0.0480  density=0.0184 vx=0.1395 vy=0.0252 var=0.0088
[epoch  58] loss=-2.2514  盲区MSE=0.0480  density=0.0184 vx=0.1395 vy=0.0254 var=0.0088
[epoch  59] loss=-2.3031  盲区MSE=0.0479  density=0.0184 vx=0.1393 vy=0.0253 var=0.0088
[epoch  60] loss=-2.2203  盲区MSE=0.0484  density=0.0185 vx=0.1411 vy=0.0251 var=0.0088
[epoch  61] loss=-2.2695  盲区MSE=0.0480  density=0.0184 vx=0.1396 vy=0.0252 var=0.0088
[epoch  62] loss=-2.2581  盲区MSE=0.0479  density=0.0184 vx=0.1392 vy=0.0252 var=0.0088
[epoch  63] loss=-2.2556  盲区MSE=0.0480  density=0.0184 vx=0.1394 vy=0.0253 var=0.0088
[epoch  64] loss=-2.2128  盲区MSE=0.0480  density=0.0184 vx=0.1395 vy=0.0253 var=0.0088
[epoch  65] loss=-2.2656  盲区MSE=0.0481  density=0.0185 vx=0.1398 vy=0.0254 var=0.0088
[epoch  66] loss=-2.2737  盲区MSE=0.0483  density=0.0185 vx=0.1405 vy=0.0253 var=0.0088
[epoch  67] loss=-2.3035  盲区MSE=0.0482  density=0.0185 vx=0.1402 vy=0.0253 var=0.0088
[epoch  68] loss=-2.0708  盲区MSE=0.0510  density=0.0191 vx=0.1490 vy=0.0270 var=0.0088
[epoch  69] loss=-2.2949  盲区MSE=0.0485  density=0.0185 vx=0.1411 vy=0.0254 var=0.0088
[epoch  70] loss=-2.3393  盲区MSE=0.0482  density=0.0185 vx=0.1402 vy=0.0253 var=0.0088
[epoch  71] loss=-2.3289  盲区MSE=0.0483  density=0.0185 vx=0.1404 vy=0.0254 var=0.0088
[epoch  72] loss=-2.3348  盲区MSE=0.0481  density=0.0185 vx=0.1397 vy=0.0255 var=0.0088
[epoch  73] loss=-2.3280  盲区MSE=0.0481  density=0.0184 vx=0.1397 vy=0.0253 var=0.0088
[epoch  74] loss=-2.2661  盲区MSE=0.0481  density=0.0184 vx=0.1398 vy=0.0253 var=0.0088
[schedule] epoch 75: n_iter -> 20, lr -> 0.0003
[epoch  75] loss=-2.2776  盲区MSE=0.0480  density=0.0185 vx=0.1394 vy=0.0253 var=0.0088
[epoch  76] loss=-2.2644  盲区MSE=0.0483  density=0.0185 vx=0.1406 vy=0.0252 var=0.0088
[epoch  77] loss=-2.2748  盲区MSE=0.0481  density=0.0185 vx=0.1399 vy=0.0253 var=0.0088
[epoch  78] loss=-2.3470  盲区MSE=0.0481  density=0.0185 vx=0.1401 vy=0.0252 var=0.0088
[epoch  79] loss=-2.0006  盲区MSE=0.0493  density=0.0192 vx=0.1430 vy=0.0262 var=0.0088
[epoch  80] loss=-2.3005  盲区MSE=0.0480  density=0.0185 vx=0.1397 vy=0.0251 var=0.0088
[2026-09-05T18:00:13.003] error: *** JOB 20079867 ON gpu58 CANCELLED AT 2026-09-05T18:00:13 DUE TO TIME LIMIT ***
