Submitted batch job 20211033
[chain] submitted successor (afterany:20204220)
NVIDIA H200
[obs] obs_every_k = 1  (observed every frame, matching the EnKF project)
[data] 6298 windows of (4, 200, 36, 12)  device=cuda
[model] params=3,990,742 (GENN prior 54,220 = 1.36%; the rest is the solver's ConvLSTM)  loss=nll  n_iter=15  amp=True
[seed] init=2  data=0
[var] AUGMENTED STATE: log sigma^2 iterated with x over 15 steps; prior term of J is a Gaussian log-likelihood of the prior residual   eps=1e-06
[schedule] ep0→5it@lr0.001  ep25→10it@lr0.0007  ep50→15it@lr0.0005  ep75→20it@lr0.0003
[resume] loaded runs/varnet_aug0_h96_s2/varnet_last.pt: continuing from epoch 90 (step 17730)
[best] previous best blind MSE = 0.0501
[schedule] epoch 90: n_iter -> 20, lr -> 0.0003
[epoch  90] loss=-2.0698  blind_MSE=0.0523  density=0.0188 vx=0.1552 vy=0.0266 var=0.0088
[epoch  91] loss=-2.3748  blind_MSE=0.0516  density=0.0185 vx=0.1527 vy=0.0264 var=0.0088
[epoch  92] loss=-2.3439  blind_MSE=0.0516  density=0.0185 vx=0.1526 vy=0.0264 var=0.0088
[epoch  93] loss=-2.3566  blind_MSE=0.0514  density=0.0184 vx=0.1521 vy=0.0263 var=0.0088
[epoch  94] loss=-2.3407  blind_MSE=0.0516  density=0.0185 vx=0.1526 vy=0.0263 var=0.0088
[epoch  95] loss=-2.3345  blind_MSE=0.0516  density=0.0186 vx=0.1529 vy=0.0264 var=0.0088
[epoch  96] loss=-2.4051  blind_MSE=0.0517  density=0.0185 vx=0.1530 vy=0.0264 var=0.0087
[epoch  97] loss=-2.3884  blind_MSE=0.0517  density=0.0185 vx=0.1531 vy=0.0264 var=0.0088
[epoch  98] loss=-2.0696  blind_MSE=0.0538  density=0.0196 vx=0.1594 vy=0.0273 var=0.0088
[epoch  99] loss=-2.3680  blind_MSE=0.0519  density=0.0186 vx=0.1539 vy=0.0264 var=0.0088
[epoch 100] loss=-2.3805  blind_MSE=0.0518  density=0.0185 vx=0.1535 vy=0.0264 var=0.0088
[epoch 101] loss=-2.3032  blind_MSE=0.0519  density=0.0186 vx=0.1539 vy=0.0265 var=0.0088
[epoch 102] loss=-2.3666  blind_MSE=0.0519  density=0.0186 vx=0.1536 vy=0.0265 var=0.0088
[epoch 103] loss=-2.3443  blind_MSE=0.0519  density=0.0186 vx=0.1537 vy=0.0265 var=0.0088
[epoch 104] loss=-2.3928  blind_MSE=0.0517  density=0.0185 vx=0.1532 vy=0.0264 var=0.0088
[epoch 105] loss=-2.3323  blind_MSE=0.0515  density=0.0185 vx=0.1526 vy=0.0263 var=0.0087
[epoch 106] loss=-2.3448  blind_MSE=0.0519  density=0.0186 vx=0.1538 vy=0.0265 var=0.0088
[epoch 107] loss=-2.4163  blind_MSE=0.0517  density=0.0186 vx=0.1529 vy=0.0264 var=0.0088
[2026-09-11T07:18:36.005] error: *** JOB 20204220 ON gpu63 CANCELLED AT 2026-09-11T07:18:36 DUE TO TIME LIMIT ***
