Submitted batch job 20224590
[chain] submitted successor (afterany:20204280)
NVIDIA H200
[obs] obs_every_k = 1  (observed every frame, matching the EnKF project)
[data] 6298 windows of (4, 200, 36, 12)  device=cuda
[model] params=3,990,742 (GENN prior 54,220 = 1.36%; the rest is the solver's ConvLSTM)  loss=nll  n_iter=15  amp=True
[seed] init=0  data=0
[var] AUGMENTED STATE: log sigma^2 iterated with x over 15 steps; prior term of J is a Gaussian log-likelihood of the prior residual   eps=1e-06
[schedule] ep0→5it@lr0.001  ep25→10it@lr0.0007  ep50→15it@lr0.0005  ep75→20it@lr0.0003
[resume] loaded runs/varnet_aug0_h96_s0/varnet_last.pt: continuing from epoch 121 (step 23837)
[best] previous best blind MSE = 0.0468
[schedule] epoch 121: n_iter -> 20, lr -> 0.0003
[epoch 121] loss=-2.3960  blind_MSE=0.0500  density=0.0181 vx=0.1473 vy=0.0260 var=0.0087
[epoch 122] loss=-2.3602  blind_MSE=0.0502  density=0.0182 vx=0.1479 vy=0.0261 var=0.0087
[epoch 123] loss=-2.3585  blind_MSE=0.0501  density=0.0181 vx=0.1476 vy=0.0261 var=0.0087
[epoch 124] loss=-1.9396  blind_MSE=0.0525  density=0.0188 vx=0.1551 vy=0.0273 var=0.0088
[epoch 125] loss=-2.4440  blind_MSE=0.0502  density=0.0180 vx=0.1482 vy=0.0261 var=0.0087
[epoch 126] loss=-2.3961  blind_MSE=0.0504  density=0.0181 vx=0.1486 vy=0.0261 var=0.0087
[epoch 127] loss=-2.3952  blind_MSE=0.0504  density=0.0181 vx=0.1484 vy=0.0262 var=0.0087
[epoch 128] loss=-2.3988  blind_MSE=0.0505  density=0.0183 vx=0.1489 vy=0.0262 var=0.0087
[epoch 129] loss=-2.4140  blind_MSE=0.0501  density=0.0182 vx=0.1477 vy=0.0260 var=0.0087
[epoch 130] loss=-2.4228  blind_MSE=0.0501  density=0.0182 vx=0.1476 vy=0.0260 var=0.0087
[epoch 131] loss=-2.3666  blind_MSE=0.0502  density=0.0181 vx=0.1481 vy=0.0259 var=0.0087
[epoch 132] loss=-2.3604  blind_MSE=0.0501  density=0.0181 vx=0.1475 vy=0.0260 var=0.0087
[epoch 133] loss=-2.4118  blind_MSE=0.0502  density=0.0181 vx=0.1478 vy=0.0261 var=0.0087
[epoch 134] loss=-2.4859  blind_MSE=0.0501  density=0.0181 vx=0.1476 vy=0.0260 var=0.0087
[epoch 135] loss=-2.0624  blind_MSE=0.0512  density=0.0184 vx=0.1512 vy=0.0264 var=0.0087
[epoch 136] loss=-2.3834  blind_MSE=0.0507  density=0.0182 vx=0.1495 vy=0.0262 var=0.0087
[epoch 137] loss=-2.3723  blind_MSE=0.0505  density=0.0181 vx=0.1491 vy=0.0262 var=0.0087
[epoch 138] loss=-2.3658  blind_MSE=0.0503  density=0.0181 vx=0.1482 vy=0.0261 var=0.0087
[2026-09-12T13:09:16.005] error: *** JOB 20204280 ON gpu52 CANCELLED AT 2026-09-12T13:09:16 DUE TO TIME LIMIT ***
