Tesla V100-PCIE-32GB
[select] 5 runs, 75 checkpoints

runs/surrogate_mean_s0  (chosen epoch 5; best.pt by valid loss = epoch 12)
 ep   pooled | walkable clipped  density      vx      vy     var | occupied  density      vx      vy     var
  8   0.3297  |                   0.0706  0.3953  0.2103  0.4788 |           0.1400  0.3212  0.2306  0.2192
  9   0.3444  |                   0.0698  0.3880  0.2142  0.5227 |           0.1388  0.3201  0.2301  0.2167
 10   0.3369  |                   0.0696  0.3917  0.2110  0.5011 |           0.1382  0.3211  0.2299  0.2109
 11   0.3917  |                   0.0696  0.3868  0.2080  0.6449 |           0.1385  0.3203  0.2295  0.2163
 12   0.3597  |                   0.0696  0.3931  0.2046  0.5624 |           0.1380  0.3235  0.2296  0.2113
 13   0.4153  |                   0.0692  0.3843  0.2065  0.7034 |           0.1376  0.3189  0.2299  0.2222
 14   0.4289  |                   0.0692  0.3862  0.2090  0.7337 |           0.1375  0.3203  0.2296  0.2243

runs/surrogate_mean_s4  (chosen epoch 3; best.pt by valid loss = epoch 11)
 ep   pooled | walkable clipped  density      vx      vy     var | occupied  density      vx      vy     var
  0   0.3302  |                   0.0755  0.3826  0.2038  0.4925 |           0.1502  0.3355  0.2369  0.2172
  1   0.3718  |                   0.0731  0.3933  0.2038  0.5928 |           0.1451  0.3319  0.2352  0.2394
  2   0.3267  |                   0.0717  0.3776  0.2103  0.4847 |           0.1425  0.3237  0.2329  0.2173
  3   0.3045 *|                   0.0712  0.3720  0.2067  0.4297 |           0.1412  0.3260  0.2321  0.2131
  4   0.3523  |                   0.0711  0.3629  0.2074  0.5628 |           0.1414  0.3224  0.2318  0.2291
  5   0.3134  |                   0.0704  0.3648  0.2073  0.4603 |           0.1396  0.3228  0.2304  0.2181
  6   0.3105  |                   0.0699  0.3648  0.2148  0.4490 |           0.1387  0.3215  0.2307  0.2132
  7   0.3216  |                   0.0699  0.3756  0.2109  0.4724 |           0.1387  0.3191  0.2309  0.2147
  8   0.3542  |                   0.0697  0.3644  0.2030  0.5685 |           0.1385  0.3201  0.2303  0.2284
  9   0.3551  |                   0.0695  0.3714  0.2087  0.5641 |           0.1379  0.3188  0.2327  0.2324
 10   0.3483  |                   0.0692  0.3763  0.2106  0.5426 |           0.1375  0.3206  0.2307  0.2257
 11   0.3339  |                   0.0693  0.3680  0.2055  0.5134 |           0.1375  0.3167  0.2299  0.2194
 12   0.3500  |                   0.0696  0.3803  0.2164  0.5420 |           0.1380  0.3192  0.2308  0.2198
 13   0.3539  |                   0.0690  0.3888  0.2055  0.5503 |           0.1371  0.3190  0.2297  0.2125
 14   0.3319  |                   0.0689  0.3675  0.2071  0.5079 |           0.1368  0.3185  0.2311  0.2181
