  [k=1] est_atc-20130616.npz

[k=1] 1 days
split                     RMSE     CRPS         NLL    sigma   sp/sk   90%cov
all                     0.1513   0.0372   7.641e-01   0.0654   0.432   95.86%
blind                   0.1784   0.0459  -1.324e+00   0.0787   0.441   95.98%
observed                0.1129   0.0274   3.135e+00   0.0503   0.445   95.72%
defined                 0.2630   0.0860   9.695e+00   0.0949   0.361   88.28%
defined_blind           0.3542   0.1373   3.798e+00   0.1446   0.408   85.56%
defined_observed        0.1771   0.0515   1.366e+01   0.0615   0.347   90.11%
walkable                0.1810   0.0514   2.704e+00   0.0870   0.481   94.45%
walkable_blind          0.2353   0.0763   2.543e-01   0.1247   0.530   93.66%
channel_density         0.1259   0.0281  -1.190e+00   0.0391   0.311   95.43%
channel_vx              0.2455   0.0766  -7.330e-01   0.1254   0.511   94.16%
channel_vy              0.1046   0.0337  -1.735e+00   0.0766   0.732   96.32%
channel_var             0.0667   0.0106   6.715e+00   0.0205   0.307   97.53%
[out] /scratch/work/zhangx29/Thesis_Project/methods/enkf/check_outputs/eval/uncertainty_lowrank_a_r32_alpha2_0616.json

